"","survived","pclass","sex","age","sibsp","parch","fare","embarked","class","who","adult_male","deck","embark_town","alive","alone"
"1",1,1,"female",35,0,0,512.3292,"C","First","woman","False","","Cherbourg","yes","True"
"2",1,1,"male",36,0,1,512.3292,"C","First","man","True","B","Cherbourg","yes","False"
"3",1,1,"male",35,0,0,512.3292,"C","First","man","True","B","Cherbourg","yes","True"
"4",0,1,"male",19,3,2,263,"S","First","man","True","C","Southampton","no","False"
"5",1,1,"female",23,3,2,263,"S","First","woman","False","C","Southampton","yes","False"
"6",1,1,"female",24,3,2,263,"S","First","woman","False","C","Southampton","yes","False"
"7",0,1,"male",64,1,4,263,"S","First","man","True","C","Southampton","no","False"
"8",1,1,"female",18,2,2,262.375,"C","First","woman","False","B","Cherbourg","yes","False"
"9",1,1,"female",21,2,2,262.375,"C","First","woman","False","B","Cherbourg","yes","False"
"10",0,1,"male",24,0,1,247.5208,"C","First","man","True","B","Cherbourg","no","False"
"11",1,1,"female",50,0,1,247.5208,"C","First","woman","False","B","Cherbourg","yes","False"
"12",1,1,"female",42,0,0,227.525,"C","First","woman","False","","Cherbourg","yes","True"
"13",0,1,"male",NA,0,0,227.525,"C","First","man","True","","Cherbourg","no","True"
"14",1,1,"female",18,1,0,227.525,"C","First","woman","False","C","Cherbourg","yes","False"
"15",1,1,"female",38,0,0,227.525,"C","First","woman","False","C","Cherbourg","yes","True"
"16",0,1,"male",NA,0,0,221.7792,"S","First","man","True","C","Southampton","no","True"
"17",0,1,"male",27,0,2,211.5,"C","First","man","True","C","Cherbourg","no","False"
"18",1,1,"female",15,0,1,211.3375,"S","First","child","False","B","Southampton","yes","False"
"19",1,1,"female",29,0,0,211.3375,"S","First","woman","False","B","Southampton","yes","True"
"20",1,1,"female",43,0,1,211.3375,"S","First","woman","False","B","Southampton","yes","False"
"21",1,1,"female",31,0,2,164.8667,"S","First","woman","False","C","Southampton","yes","False"
"22",1,1,"female",45,1,1,164.8667,"S","First","woman","False","","Southampton","yes","False"
"23",1,1,"female",58,0,1,153.4625,"S","First","woman","False","C","Southampton","yes","False"
"24",0,1,"male",38,0,1,153.4625,"S","First","man","True","C","Southampton","no","False"
"25",1,1,"female",40,0,0,153.4625,"S","First","woman","False","C","Southampton","yes","True"
"26",0,1,"female",2,1,2,151.55,"S","First","child","False","C","Southampton","no","False"
"27",1,1,"male",0.92,1,2,151.55,"S","First","child","False","C","Southampton","yes","False"
"28",0,1,"female",25,1,2,151.55,"S","First","woman","False","C","Southampton","no","False"
"29",1,1,"female",22,0,0,151.55,"S","First","woman","False","","Southampton","yes","True"
"30",1,1,"female",NA,1,0,146.5208,"C","First","woman","False","B","Cherbourg","yes","False"
"31",1,1,"female",58,0,0,146.5208,"C","First","woman","False","B","Cherbourg","yes","True"
"32",1,1,"female",35,0,0,135.6333,"S","First","woman","False","C","Southampton","yes","True"
"33",1,1,"female",36,0,0,135.6333,"C","First","woman","False","C","Cherbourg","yes","True"
"34",0,1,"male",22,0,0,135.6333,"C","First","man","True","","Cherbourg","no","True"
"35",1,1,"female",40,1,1,134.5,"C","First","woman","False","E","Cherbourg","yes","False"
"36",1,1,"female",41,0,0,134.5,"C","First","woman","False","E","Cherbourg","yes","True"
"37",1,1,"female",NA,1,0,133.65,"S","First","woman","False","","Southampton","yes","False"
"38",1,1,"male",50,2,0,133.65,"S","First","man","True","","Southampton","yes","False"
"39",1,1,"male",36,1,2,120,"S","First","man","True","B","Southampton","yes","False"
